Labour force characteristics,Sex,Age group,Reference period,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia
Unemployment rate 7,Both sexes,25 years and over,2019,4.8,11.3,8.4,6.3,7.3,4.6,4.5,4.2,4.6,6.1,4
Unemployment rate 7,Both sexes,25 years and over,2020,7.8,13.3,9.3,8.5,8.8,7.5,7.5,6.5,6.9,9.5,7.4
Unemployment rate 7,Both sexes,25 years and over,2021,6.5,12.3,8.4,7.5,8.4,5.5,6.7,5.4,5.7,7.6,5.6
Unemployment rate 7,Both sexes,25 to 44 years,2019,5.1,9.9,7.3,6.9,6.6,4.7,5.2,4.7,5,6,4
Unemployment rate 7,Both sexes,25 to 44 years,2020,8.4,11.9,9.7,9.1,8.6,7.8,8.4,7.2,7.7,9.6,8
Unemployment rate 7,Both sexes,25 to 44 years,2021,6.4,10.3,7.5,7.5,8.1,5.4,6.9,5.8,5.3,7.3,5.3
Unemployment rate 7,Both sexes,45 to 64 years,2019,4.6,12.5,9.1,5.8,7.9,4.4,4,3.9,4.3,6.3,4.2
Unemployment rate 7,Both sexes,45 to 64 years,2020,7.2,14,8.6,8,8.9,6.9,6.7,5.8,6,9.5,6.8
Unemployment rate 7,Both sexes,45 to 64 years,2021,6.4,13.7,8.7,7.3,8.2,5.6,6.4,4.9,6,7.8,5.8
Unemployment rate 7,Both sexes,45 years and over,2019,4.6,12.5,9.3,5.8,7.9,4.5,3.9,3.7,4.1,6.2,4
Unemployment rate 7,Both sexes,45 years and over,2020,7.3,14.4,8.9,8,8.9,7.2,6.6,5.6,6,9.3,6.9
Unemployment rate 7,Both sexes,45 years and over,2021,6.6,13.8,9.3,7.5,8.6,5.7,6.6,5,6,8.1,5.9
Unemployment rate 7,Both sexes,25 to 54 years,2019,4.8,10.1,7.5,6.2,6.5,4.4,4.6,4.4,4.8,5.8,3.9
Unemployment rate 7,Both sexes,25 to 54 years,2020,7.8,11.5,9.2,8.2,8,7.3,7.7,6.7,7.1,9.3,7.5
Unemployment rate 7,Both sexes,25 to 54 years,2021,6.2,10.5,7.7,7,7.5,5.2,6.6,5.4,5.5,7.3,5.1
Unemployment rate 7,Both sexes,55 years and over,2019,5.1,14.5,10.6,6.6,9.4,5.2,4.2,3.7,3.8,7.2,4.2
Unemployment rate 7,Both sexes,55 years and over,2020,7.9,18.2,9.4,9.3,10.7,8.3,7,5.9,6.2,10.3,7.3
Unemployment rate 7,Both sexes,55 years and over,2021,7.4,16.9,9.9,8.7,10.4,6.6,7.2,5.3,6.2,8.8,6.9
Unemployment rate 7,Both sexes,15 to 64 years,2019,5.8,12.3,8.6,7.4,8.1,5.1,5.7,5.5,5.7,7.1,4.8
Unemployment rate 7,Both sexes,15 to 64 years,2020,9.6,13.9,10.4,9.9,10,8.8,9.7,8.2,8.6,11.6,9
Unemployment rate 7,Both sexes,15 to 64 years,2021,7.4,12.8,9,8.4,8.9,6.1,8,6.4,6.6,8.6,6.5
Unemployment rate 7,Both sexes,15 to 19 years,2019,14.7,24,12,17.1,16.8,11,15.5,15,16.1,19.7,12.6
Unemployment rate 7,Both sexes,15 to 19 years,2020,23.6,22,20,20.2,18.1,20.2,25.8,20.2,22.9,29.7,20.7
Unemployment rate 7,Both sexes,15 to 19 years,2021,16,19.2,16.3,18.5,12.3,11,18.5,16.9,14.6,19.9,14.2
Unemployment rate 7,Both sexes,20 to 24 years,2019,8.9,15.9,9.8,11.1,10.3,6.9,10.1,8.8,8.9,8.8,7.4
Unemployment rate 7,Both sexes,20 to 24 years,2020,18.2,17.7,14.6,15.6,17.6,15.3,20.1,13.9,14.4,20.8,17.5
Unemployment rate 7,Both sexes,20 to 24 years,2021,12.1,15.8,12.1,11,13.5,8.9,14.2,8.8,9.4,13.1,11.1
Unemployment rate 7,Both sexes,25 to 29 years,2019,6.3,14.2,7.1,8.2,9,5.8,6.3,6.4,6.4,7,4.8
Unemployment rate 7,Both sexes,25 to 29 years,2020,10.7,14.2,12.6,13.2,10.3,9.1,11.3,9.3,9.5,12.1,10.3
Unemployment rate 7,Both sexes,25 to 29 years,2021,8,11.7,8.5,8.6,9.7,6.7,9,7.9,6.5,7.7,6.9
Unemployment rate 7,Both sexes,30 to 34 years,2019,5.2,8.3,9,6.7,6.8,4.9,5.3,4.6,5.5,6.4,3.6
Unemployment rate 7,Both sexes,30 to 34 years,2020,8.3,13.1,7.7,8.7,8.8,7.9,8.5,7.4,8.7,9.4,7.5
Unemployment rate 7,Both sexes,30 to 34 years,2021,6.1,11,7.1,8.4,7.7,5.7,6,5.1,5.3,7.6,5.2
Unemployment rate 7,Both sexes,35 to 39 years,2019,4.6,8,7.5,7.2,5.6,4.1,4.8,3.9,4.1,5.3,3.8
Unemployment rate 7,Both sexes,35 to 39 years,2020,7.7,8.7,10.3,7.3,8.7,7.5,7.5,6.7,6.7,9,7.7
Unemployment rate 7,Both sexes,35 to 39 years,2021,6.2,8.9,7.2,7,6.9,5.6,6.6,4.5,5.7,7.3,4.8
Unemployment rate 7,Both sexes,40 to 44 years,2019,4.3,9.3,5.7,5.1,5.4,3.9,4.2,4,3.9,5.2,3.7
Unemployment rate 7,Both sexes,40 to 44 years,2020,6.7,12,7.9,7,7.1,6.8,6.2,5.6,6,8.2,6.3
Unemployment rate 7,Both sexes,40 to 44 years,2021,5.3,9.7,7.1,5.9,8.1,3.9,5.9,5.7,4.1,6.5,4.4
Unemployment rate 7,Both sexes,45 to 49 years,2019,3.9,9.3,8.2,4.9,5.3,3.4,3.5,4.3,4.6,5.1,3.2
Unemployment rate 7,Both sexes,45 to 49 years,2020,6.4,10.2,8.3,5.6,6.3,5.9,6.2,5.7,5.4,7.8,6.7
Unemployment rate 7,Both sexes,45 to 49 years,2021,5.6,10.3,7,6.6,6.5,4.5,6,5.1,6.1,7.2,4.3
Unemployment rate 7,Both sexes,50 to 54 years,2019,4.2,11.6,8.5,5,7.2,4.1,3.6,3.2,4.1,5.2,4.1
Unemployment rate 7,Both sexes,50 to 54 years,2020,6.7,11.6,8.2,7.2,7.6,6.4,6.2,5.1,5.9,9,6.3
Unemployment rate 7,Both sexes,50 to 54 years,2021,5.7,11,8.9,5.6,6.7,4.8,5.8,4.1,5.5,7.4,5.1
Unemployment rate 7,Both sexes,55 to 59 years,2019,4.9,13.8,8.7,6.2,9.8,4.2,4.6,3.6,3.9,7.1,3.9
Unemployment rate 7,Both sexes,55 to 59 years,2020,7.6,16,7.9,9.1,9.4,7.1,7.1,6.2,5.7,10.7,7.1
Unemployment rate 7,Both sexes,55 to 59 years,2021,6.8,14.8,7.8,7.4,9.1,5.9,6.7,4.7,5.2,7.9,6.8
Unemployment rate 7,Both sexes,60 to 64 years,2019,6,16.9,12.7,7.4,9.3,6.5,4.4,4.7,4.4,8.8,5.9
Unemployment rate 7,Both sexes,60 to 64 years,2020,8.6,21.3,10.4,11,13.4,8.9,7.4,6.3,7.5,11.1,7.6
Unemployment rate 7,Both sexes,60 to 64 years,2021,8.1,20.5,11.6,10.4,11.4,7.7,7.6,6,7.5,9.4,7.3
Unemployment rate 7,Both sexes,65 years and over,2019,4.1,12.4,9.4,6.3,8.4,5.7,3.1,2.3,2.9,5.4,2.5
Unemployment rate 7,Both sexes,65 years and over,2020,7.5,18.6,10.7,7.5,10,10.2,6.2,4.8,5.4,8,7.3
Unemployment rate 7,Both sexes,65 years and over,2021,7.7,15,10.9,9,11.7,6.6,7.8,5.5,6.1,9.9,6.7
Unemployment rate 7,Both sexes,65 to 69 years,2019,4.5,13.3,12.1,7.8,11.3,5.9,3.3,x,3.4,6.2,2.3
Unemployment rate 7,Both sexes,65 to 69 years,2020,9.1,20.9,12.1,8.3,11.9,12,7.5,5.2,6.6,10.7,8.4
Unemployment rate 7,Both sexes,65 to 69 years,2021,8.6,18.8,12.5,10.3,14,8.1,8.4,6.3,6.5,9.8,7.6
Unemployment rate 7,Both sexes,70 years and over,2019,3.4,x,x,x,x,5.4,2.5,x,x,x,x
Unemployment rate 7,Both sexes,70 years and over,2020,5,x,x,6.3,x,6.7,4.1,x,4.7,3.9,5.3
Unemployment rate 7,Both sexes,70 years and over,2021,6.1,x,8.7,5.9,7.7,3.7,6.6,x,5.7,10.1,5.2
Unemployment rate 7,Males,15 years and over,2019,6.1,14.3,10.6,8.5,9.6,5.7,5.8,5.9,5.6,7.6,4.7
Unemployment rate 7,Males,15 years and over,2020,9.6,17.6,10.4,10.5,11.7,9.1,9.2,8.1,8.9,11.8,9
Unemployment rate 7,Males,15 years and over,2021,7.7,15.8,10.3,9.4,10.5,6.5,8,6.3,7.3,8.8,6.6
Unemployment rate 7,Males,15 to 24 years,2019,12.2,20.3,13.3,14.1,15.3,9.9,12.9,13.7,12,14.7,10
Unemployment rate 7,Males,15 to 24 years,2020,20.7,22.9,16.9,19.5,18.9,18.9,21.8,17.3,18.9,24.3,19.5
Unemployment rate 7,Males,15 to 24 years,2021,14.5,19.6,14.3,15.2,14.7,11,16.3,12.4,13.1,17.8,12.3
Unemployment rate 7,Males,25 years and over,2019,5.1,13.5,10.1,7.4,8.6,5.1,4.5,4.4,4.5,6.6,3.8
Unemployment rate 7,Males,25 years and over,2020,7.9,16.8,9.1,8.9,10.5,7.5,7.2,6.4,7.3,9.9,7.4
Unemployment rate 7,Males,25 years and over,2021,6.6,15.4,9.5,8.4,9.7,5.8,6.7,5.2,6.3,7.5,5.7
Unemployment rate 7,Males,25 to 44 years,2019,5.4,11.5,8.9,8.1,7.8,5.4,5.3,4.8,5.1,6.2,3.7
Unemployment rate 7,Males,25 to 44 years,2020,8.5,15.2,9.6,10,10.7,8,8.2,7.5,8.4,10.2,7.9
Unemployment rate 7,Males,25 to 44 years,2021,6.6,13.4,8.5,8.9,9.4,6,6.9,5.6,5.9,7.4,5.5
Unemployment rate 7,Males,45 to 64 years,2019,4.9,14.9,10.9,6.9,9.2,4.7,3.9,4.2,4.2,7,4.1
Unemployment rate 7,Males,45 to 64 years,2020,7.2,17.9,8.9,8.1,10.3,6.8,6.4,5.6,6.3,9.7,6.7
Unemployment rate 7,Males,45 to 64 years,2021,6.4,16.8,10.3,7.9,9.6,5.5,6.3,4.5,7,7.2,5.8
Unemployment rate 7,Males,45 years and over,2019,4.8,14.9,11,6.8,9.2,4.8,3.8,3.9,4,7,3.9
Unemployment rate 7,Males,45 years and over,2020,7.2,18.1,8.7,8.1,10.3,7.1,6.2,5.3,6.1,9.6,6.8
Unemployment rate 7,Males,45 years and over,2021,6.5,16.8,10.4,8,10,5.6,6.4,4.7,6.7,7.7,5.9
Unemployment rate 7,Males,25 to 54 years,2019,5,12.1,9.3,7.4,7.7,4.9,4.6,4.6,4.8,6,3.7
Unemployment rate 7,Males,25 to 54 years,2020,7.8,14.8,9.3,8.7,9.7,7.3,7.4,6.9,7.7,9.6,7.4
Unemployment rate 7,Males,25 to 54 years,2021,6.3,13.5,9,8.4,8.8,5.5,6.6,5.3,6.1,7.1,5.3
Unemployment rate 7,Males,55 years and over,2019,5.4,16.9,12.7,7.4,10.7,5.6,4.2,3.9,3.7,8.4,4.2
Unemployment rate 7,Males,55 years and over,2020,8,21.8,8.6,9.5,12.2,8.3,6.8,5.2,6.2,10.8,7.3
Unemployment rate 7,Males,55 years and over,2021,7.3,19.7,10.7,8.6,12.1,6.4,7,4.9,6.8,8.9,6.8
Unemployment rate 7,Males,15 to 64 years,2019,6.2,14.3,10.8,8.6,9.6,5.8,5.9,6.1,5.8,7.7,4.8
Unemployment rate 7,Males,15 to 64 years,2020,9.8,17.4,10.6,10.7,11.8,9.1,9.5,8.3,9.2,11.9,9.1
Unemployment rate 7,Males,15 to 64 years,2021,7.7,15.8,10.3,9.5,10.3,6.5,8,6.3,7.4,8.7,6.6
Unemployment rate 7,Males,15 to 19 years,2019,15.8,25.4,12.5,15.7,19.8,11.3,16.3,19,16.6,22.4,14
Unemployment rate 7,Males,15 to 19 years,2020,24.1,22.2,21.7,22.4,18.5,20.7,25.6,20,23.9,31.1,22.1
Unemployment rate 7,Males,15 to 19 years,2021,16.5,23,16,20.6,14,11.4,18.7,17.3,16.8,21.3,13.7
Unemployment rate 7,Males,20 to 24 years,2019,10.3,17.5,13.7,13.3,12.5,9,11.2,11.1,9.5,10.5,8.1
Unemployment rate 7,Males,20 to 24 years,2020,19,23.2,14.6,17.6,19.1,18,19.9,15.8,16.2,20.7,18.3
Unemployment rate 7,Males,20 to 24 years,2021,13.5,17.8,13.5,12.9,15.2,10.7,15.2,9.9,11,16,11.6
Unemployment rate 7,Males,25 to 29 years,2019,7,16.9,x,9.8,10.1,7.1,7.1,6.9,5.7,7.5,4.8
Unemployment rate 7,Males,25 to 29 years,2020,11.7,18,12.8,16.4,14,9.8,11.7,10.5,10.2,13.8,11.6
Unemployment rate 7,Males,25 to 29 years,2021,8.7,15.4,9.8,10.6,11.7,7.2,9.7,8.5,6.8,8.8,7.3
Unemployment rate 7,Males,30 to 34 years,2019,5.3,9.5,10.3,8.4,8.5,5.7,5.1,4.7,5.7,6.7,2.9
Unemployment rate 7,Males,30 to 34 years,2020,8.3,17.2,7.7,9.1,11.1,7.6,8.4,7.5,8.7,9.8,7.1
Unemployment rate 7,Males,30 to 34 years,2021,6.4,15.1,7.1,10.3,8.9,6.5,6.1,4.6,6.4,7.5,5.3
Unemployment rate 7,Males,35 to 39 years,2019,4.7,8.9,10.3,8.1,7,4.2,4.8,3.5,4.2,5.1,4.1
Unemployment rate 7,Males,35 to 39 years,2020,7.5,12.2,6.8,7.3,10.1,7.5,7.1,6.2,7.7,8.6,6.9
Unemployment rate 7,Males,35 to 39 years,2021,6,10.7,7.1,8.1,8.6,5.9,6,4,5.6,6.8,4.8
Unemployment rate 7,Males,40 to 44 years,2019,4.4,10.6,7,6,6.1,4.5,3.9,3.9,4.2,5.7,3.1
Unemployment rate 7,Males,40 to 44 years,2020,6.5,13.5,8.1,6.5,8.1,7.2,5.2,5.5,6.8,8.8,6.1
Unemployment rate 7,Males,40 to 44 years,2021,5.4,11.7,9.8,6.3,8.8,4.5,5.6,5.6,4.4,6.5,4.8
Unemployment rate 7,Males,45 to 49 years,2019,3.9,11,9.5,6.5,6.5,3.6,3,4.3,4.6,5.1,3.6
Unemployment rate 7,Males,45 to 49 years,2020,5.9,13.1,7.3,5.8,6.9,5.5,5.3,5.8,5.6,7.2,5.8
Unemployment rate 7,Males,45 to 49 years,2021,5.5,15.6,x,7.1,8.5,4.5,5.9,5,7.2,5.9,3.9
Unemployment rate 7,Males,50 to 54 years,2019,4.3,14.3,10.2,5.7,8.4,4,3.6,3.7,3.9,5.8,3.6
Unemployment rate 7,Males,50 to 54 years,2020,6.5,14.8,10.2,6.8,8.8,5.7,5.8,5.1,6.3,9.6,6.5
Unemployment rate 7,Males,50 to 54 years,2021,5.8,12.6,10.6,7.1,6.9,4.8,5.7,4.3,6.1,6.9,5.7
Unemployment rate 7,Males,55 to 59 years,2019,5.3,16.1,10.9,7.3,11.2,4.9,4.5,4.1,3.5,7.9,4
Unemployment rate 7,Males,55 to 59 years,2020,7.9,21.1,9.1,8.3,11.9,7.4,7.2,5.4,5.3,11.7,6.6
Unemployment rate 7,Males,55 to 59 years,2021,6.7,18.2,10.9,7.3,11,5.9,6.5,3.9,6.7,7.1,7.1
Unemployment rate 7,Males,60 to 64 years,2019,6.6,18.6,15.4,8.5,11,7.1,4.8,5.1,5,10.5,5.9
Unemployment rate 7,Males,60 to 64 years,2020,8.9,23.5,8.6,12.7,14.8,9.2,7.5,6,8.5,10.8,8.1
Unemployment rate 7,Males,60 to 64 years,2021,7.7,23.6,10.5,9.9,12.3,6.9,7.3,5,8.6,9.6,6.6
Unemployment rate 7,Males,65 years and over,2019,4.1,x,x,6.3,x,4.9,3,x,x,x,2.3
Unemployment rate 7,Males,65 years and over,2020,7.1,x,8.1,7.8,9.8,9.2,5.2,3.9,5.4,9,7.6
Unemployment rate 7,Males,65 years and over,2021,7.7,x,10.8,8.9,13.6,6.7,7.4,x,5.4,11.1,6.6
Unemployment rate 7,Males,65 to 69 years,2019,5,x,x,x,x,5.8,3.6,x,x,x,x
Unemployment rate 7,Males,65 to 69 years,2020,9,x,x,x,12,12,6.5,x,x,11.7,9.2
Unemployment rate 7,Males,65 to 69 years,2021,8.7,x,x,x,16.7,8.7,7.7,x,x,11.4,7.6
Unemployment rate 7,Males,70 years and over,2019,2.8,x,x,x,x,x,2.1,x,x,x,x
Unemployment rate 7,Males,70 years and over,2020,4.2,x,x,x,x,4.7,3.2,x,x,x,x
Unemployment rate 7,Males,70 years and over,2021,6.2,x,x,x,x,x,7,x,x,x,x
Unemployment rate 7,Females,15 years and over,2019,5.3,9.9,6.5,6.3,6.5,4.5,5.5,4.8,5.5,6.2,4.7
Unemployment rate 7,Females,15 years and over,2020,9.4,10.3,10.4,9,8.2,8.6,10,7.9,7.8,11.1,8.9
Unemployment rate 7,Females,15 years and over,2021,7.2,9.7,7.8,7.3,7.5,5.7,8,6.5,5.6,8.5,6.4
Unemployment rate 7,Females,15 to 24 years,2019,9.6,17.1,7.5,12.6,10,7.2,11,8.2,10.8,10.4,8.2
Unemployment rate 7,Females,15 to 24 years,2020,19.4,15.5,15.9,14.9,16.5,15.3,22.2,14.9,16.1,23.9,17.6
Unemployment rate 7,Females,15 to 24 years,2021,12.4,14.3,12.5,11.7,11.2,8.5,15,10.9,9.7,13.2,12.1
Unemployment rate 7,Females,25 years and over,2019,4.6,8.8,6.6,5.1,6,4,4.5,4.1,4.6,5.5,4.1
Unemployment rate 7,Females,25 years and over,2020,7.8,9.5,9.5,8,7,7.5,7.9,6.5,6.3,9,7.5
Unemployment rate 7,Females,25 years and over,2021,6.3,9,6.9,6.6,6.9,5.3,6.8,5.6,4.9,7.8,5.5
Unemployment rate 7,Females,25 to 44 years,2019,4.8,8.1,5.6,5.6,5.4,3.9,5.1,4.7,4.9,5.7,4.2
Unemployment rate 7,Females,25 to 44 years,2020,8.2,8.6,10.5,8.2,6.4,7.5,8.7,7,6.9,9,8
Unemployment rate 7,Females,25 to 44 years,2021,6.1,7.4,6.5,6.1,6.7,4.8,6.9,5.9,4.7,7.1,5.1
Unemployment rate 7,Females,45 to 64 years,2019,4.4,9.8,7.2,4.6,6.5,3.9,4,3.5,4.4,5.5,4.2
Unemployment rate 7,Females,45 to 64 years,2020,7.3,9.7,8.3,7.9,7.2,7.1,7,6,5.7,9.2,7
Unemployment rate 7,Females,45 to 64 years,2021,6.5,10.3,6.9,6.9,6.8,5.7,6.6,5.3,4.8,8.6,5.7
Unemployment rate 7,Females,45 years and over,2019,4.3,9.6,7,4.6,6.4,4.2,4,3.5,4.3,5.3,4
Unemployment rate 7,Females,45 years and over,2020,7.3,10.1,9.1,7.9,7.5,7.4,7,6,5.8,9,7
Unemployment rate 7,Females,45 years and over,2021,6.6,10.3,7.3,7,7,5.8,6.8,5.2,5.2,8.5,5.8
Unemployment rate 7,Females,25 to 54 years,2019,4.5,8.1,6,4.9,5.2,3.8,4.6,4.3,4.8,5.5,4.1
Unemployment rate 7,Females,25 to 54 years,2020,7.8,8.3,9.5,7.7,6.3,7.3,8.1,6.5,6.4,8.8,7.6
Unemployment rate 7,Females,25 to 54 years,2021,6,7.6,6.3,5.8,6.3,4.8,6.6,5.5,4.8,7.5,4.9
Unemployment rate 7,Females,55 years and over,2019,4.7,11.3,8.1,5.6,7.9,4.7,4.2,3.4,3.9,5.7,4.3
Unemployment rate 7,Females,55 years and over,2020,7.8,13,9.4,9.2,9,8.1,7.2,6.8,6,9.6,7.2
Unemployment rate 7,Females,55 years and over,2021,7.5,13.1,9.8,8.8,8.4,6.9,7.5,5.8,5.3,8.8,7.1
Unemployment rate 7,Females,15 to 64 years,2019,5.4,10.1,6.6,6.3,6.5,4.4,5.6,4.8,5.7,6.3,4.8
Unemployment rate 7,Females,15 to 64 years,2020,9.5,10.1,10.2,9.1,8.2,8.5,10,8,7.9,11.2,9
Unemployment rate 7,Females,15 to 64 years,2021,7.2,9.6,7.6,7.3,7.4,5.7,8,6.5,5.6,8.5,6.4
Unemployment rate 7,Females,15 to 19 years,2019,13.5,22.4,11.5,18.3,13.8,10.8,14.7,11.4,14.9,16.8,11.2
Unemployment rate 7,Females,15 to 19 years,2020,23.1,23.1,18.2,17.8,17.6,19.7,26,20.5,21.9,28.4,19.3
Unemployment rate 7,Females,15 to 19 years,2021,15.5,15.6,16,16.4,10.5,10.6,18.2,16.1,12.3,18.5,14.7
Unemployment rate 7,Females,20 to 24 years,2019,7.3,14,4.8,8.7,7.2,4.9,8.8,6.3,8.3,6.9,6.6
Unemployment rate 7,Females,20 to 24 years,2020,17.2,11.3,14.6,13.4,15.6,12.5,20.3,11.8,12.4,21,16.6
Unemployment rate 7,Females,20 to 24 years,2021,10.6,13.4,10.3,9,11.7,7.1,13.2,7.4,7.6,9.8,10.6
Unemployment rate 7,Females,25 to 29 years,2019,5.4,11,x,6.5,7.9,4.3,5.5,5.5,7.1,6.5,4.9
Unemployment rate 7,Females,25 to 29 years,2020,9.7,9.6,12.5,9.7,6.7,8.3,10.9,7.8,8.6,10.2,8.9
Unemployment rate 7,Females,25 to 29 years,2021,7.1,7.6,7,6,7.5,6.2,8.1,7.1,5.6,6.4,6.4
Unemployment rate 7,Females,30 to 34 years,2019,5.1,6.1,7.7,5.3,5.1,3.9,5.5,4.8,5.3,6.1,4.4
Unemployment rate 7,Females,30 to 34 years,2020,8.3,9.1,7.7,8.2,5.7,8.1,8.6,7.3,8.7,8.9,8
Unemployment rate 7,Females,30 to 34 years,2021,5.8,6.7,7,6.6,6.4,4.9,5.8,5.7,4,7.7,5.1
Unemployment rate 7,Females,35 to 39 years,2019,4.5,7.2,4.9,6.4,4.3,4,4.7,4.3,4,5.6,3.4
Unemployment rate 7,Females,35 to 39 years,2020,8,5.7,14,7.3,7.1,7.4,8,7.1,5.5,9.5,8.6
Unemployment rate 7,Females,35 to 39 years,2021,6.4,7.3,7.5,5.9,5.7,5.3,7.3,5.1,5.8,8,5
Unemployment rate 7,Females,40 to 44 years,2019,4.2,7.8,4.5,4.3,4.6,3.2,4.4,4,3.6,4.6,4.3
Unemployment rate 7,Females,40 to 44 years,2020,6.9,11.1,7.5,7.4,6,6.2,7.2,5.8,5.1,7.7,6.6
Unemployment rate 7,Females,40 to 44 years,2021,5.2,7.1,7,5.5,7.3,3.2,6.3,5.8,3.5,6.5,4
Unemployment rate 7,Females,45 to 49 years,2019,3.8,7.6,7,3.2,4.1,3.2,3.9,4.2,4.7,5.1,2.8
Unemployment rate 7,Females,45 to 49 years,2020,7,8,6.8,5.8,5.7,6.4,7.2,5.6,5.2,8.4,7.5
Unemployment rate 7,Females,45 to 49 years,2021,5.7,6,x,6,4.5,4.5,6,5.4,5,8.7,4.8
Unemployment rate 7,Females,50 to 54 years,2019,4.1,8.6,6.7,4.4,5.8,4.2,3.6,2.9,4.7,4.6,4.6
Unemployment rate 7,Females,50 to 54 years,2020,6.8,7.6,8.5,7.5,5.8,7.1,6.6,5,5.4,8.4,6.1
Unemployment rate 7,Females,50 to 54 years,2021,5.6,9.5,7.1,4.2,6.5,4.8,6,3.8,4.8,7.9,4.3
Unemployment rate 7,Females,55 to 59 years,2019,4.6,10.9,6.5,5,8.8,3.3,4.7,3.1,4.4,6.2,3.9
Unemployment rate 7,Females,55 to 59 years,2020,7.3,10.4,6.7,10,6.6,6.8,6.9,7,6.2,9.4,7.5
Unemployment rate 7,Females,55 to 59 years,2021,6.8,11.1,6.8,7.5,6.6,5.9,6.9,5.6,3.4,8.8,6.5
Unemployment rate 7,Females,60 to 64 years,2019,5.3,13.6,12.1,6.1,7.2,5.7,4,4.2,4.1,6.6,5.9
Unemployment rate 7,Females,60 to 64 years,2020,8.3,17.8,12.5,8.9,11.9,8.5,7.4,6.6,6.2,11.6,7
Unemployment rate 7,Females,60 to 64 years,2021,8.5,17.9,13.3,11.1,10.9,8.8,7.9,7.2,6,9.2,8.1
Unemployment rate 7,Females,65 years and over,2019,4,x,x,6.3,x,7.1,3.2,x,x,x,2.7
Unemployment rate 7,Females,65 years and over,2020,8.2,x,15.8,7.1,10.3,11.9,7.8,6.4,6.4,6.1,6.7
Unemployment rate 7,Females,65 years and over,2021,7.7,x,11.8,9.2,8.6,6.4,8.4,x,7.5,8.1,6.7
Unemployment rate 7,Females,65 to 69 years,2019,3.8,x,x,x,x,6,3.1,x,x,x,x
Unemployment rate 7,Females,65 to 69 years,2020,9.2,x,x,x,11.8,12,8.9,x,x,8.9,7.2
Unemployment rate 7,Females,65 to 69 years,2021,8.4,x,x,x,8.9,7.2,9.6,x,x,7.5,7.5
Unemployment rate 7,Females,70 years and over,2019,4.4,x,x,x,x,x,3.5,x,x,x,x
Unemployment rate 7,Females,70 years and over,2020,6.5,x,x,x,x,11.8,5.6,x,x,x,x
Unemployment rate 7,Females,70 years and over,2021,6.1,x,x,x,x,x,5.8,x,x,x,x
Participation rate 8,Both sexes,15 years and over,2019,65.6,58.1,66.6,61.8,61.1,64.9,64.9,66.6,68.4,70.9,66
Participation rate 8,Both sexes,15 years and over,2020,64.1,55.9,64.7,59.9,60.4,63.8,63.6,65.5,66.9,68.6,63.6
Participation rate 8,Both sexes,15 years and over,2021,65.1,56.7,65.1,61.6,60.9,64.1,64.9,66.4,67.1,69.2,65.3
Participation rate 8,Both sexes,15 to 24 years,2019,64.9,60.3,70.6,69.9,66.8,70.2,61.5,66.5,65.1,64.7,66
Participation rate 8,Both sexes,15 to 24 years,2020,61.9,59.2,64.7,64.2,65.1,68.8,58.8,63.3,63.4,61.4,60.5
Participation rate 8,Both sexes,15 to 24 years,2021,63.8,62,67,68,68.2,68.6,60.3,67,65.1,62.3,66.2
Participation rate 8,Both sexes,25 years and over,2019,65.7,57.7,65.9,60.5,60.3,64.1,65.5,66.6,69,72,66
Participation rate 8,Both sexes,25 years and over,2020,64.4,55.4,64.6,59.2,59.7,63,64.4,65.9,67.5,69.8,64.1
Participation rate 8,Both sexes,25 years and over,2021,65.3,56,64.7,60.6,59.8,63.4,65.7,66.3,67.5,70.4,65.2
Participation rate 8,Both sexes,25 to 44 years,2019,87.4,85,89.2,87.2,86.9,89,86.1,86.3,88.1,88.1,88.3
Participation rate 8,Both sexes,25 to 44 years,2020,86.3,84.1,86.8,86.8,86,88.8,84.9,85.6,87.2,86.5,85.8
Participation rate 8,Both sexes,25 to 44 years,2021,87.8,84.8,89.1,88,88,89.4,87,87.3,88.8,87.2,88.5
Participation rate 8,Both sexes,45 to 64 years,2019,76.2,69.1,78.4,72.2,73.3,75.5,76.2,77,78.4,79.4,76.6
Participation rate 8,Both sexes,45 to 64 years,2020,75.4,67.6,77.6,70,73.6,74.8,75.5,76.9,77.3,78.3,75.3
Participation rate 8,Both sexes,45 to 64 years,2021,77,68.9,77.5,73.1,73.6,76.4,77.3,77.5,77.9,79.7,76.9
Participation rate 8,Both sexes,45 years and over,2019,52.4,45.8,54.2,47.6,48.2,49.8,52.8,53.3,55.9,59.1,52.6
Participation rate 8,Both sexes,45 years and over,2020,51,43.2,53.2,45.8,47.8,48.3,51.7,52.6,54,56.6,51.1
Participation rate 8,Both sexes,45 years and over,2021,51.4,44,52.1,47.3,47.1,48.7,52.4,52.2,53.1,57.3,51.1
Participation rate 8,Both sexes,25 to 54 years,2019,87.3,83.2,88.2,86.6,86.3,89,86.1,86.5,88.1,88.1,87.9
Participation rate 8,Both sexes,25 to 54 years,2020,86.2,83.1,87.6,85.8,86.2,88.6,84.9,86.1,87.6,86.6,85.9
Participation rate 8,Both sexes,25 to 54 years,2021,87.7,83.9,88.5,87.3,87.5,89.3,86.9,87.6,88.8,87.5,87.8
